Track name, Artist name, Album, Playlist name, Type, ISRC
Slave To Perfection,One After None,Slave To Perfection,Favorite Songs,Favorite,US23A1500235
What I've Done,Linkin Park,Minutes to Midnight,Favorite Songs,Favorite,USWB10700721
Numb / Encore,JAY-Z,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,Favorite Songs,Favorite,USWB10403681
R.I.P. SCREW,Travis Scott,ASTROWORLD,Favorite Songs,Favorite,USSM11806661
The Mountain,Three Days Grace,The Mountain,Favorite Songs,Favorite,USRC11703664
Cold as Ice,Foreigner,Foreigner (Expanded),Favorite Songs,Favorite,USAT29900657
Alone In A Room,Asking Alexandria,Asking Alexandria,Favorite Songs,Favorite,USYFZ1791001
No Manners,1UP,No Manners,Favorite Songs,Favorite,QZHN31924742
Moon Rover,1UP,Moon Rover,Favorite Songs,Favorite,QZDA81912970
Revive,Ariaa,Revive,Favorite Songs,Favorite,USUM71808041
Fly N Ghetto,Ayo & Teo,Fly N Ghetto,Favorite Songs,Favorite,QMRSZ1902564
Me and My Guitar,A Boogie Wit da Hoodie,Artist 2.0,Favorite Songs,Favorite,USAT22000602
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,Curtain Call,Favorite Songs,Favorite,USIR10211559
FRIDAY,916frosty,FRIDAY,Favorite Songs,Favorite,UST8K1882747
Something More,Smirk,Something More,Favorite Songs,Favorite,QZHNC1901925
Ring Ring (with Rvssian feat. Clever),Juice WRLD,Death Race For Love,Favorite Songs,Favorite,USUG11900391
"Wake Up Call (feat. Trippie Redd, Tobi & P Money) - Yoshi Remix",KSI,"Wake Up Call (feat. Trippie Redd, Tobi & P Money) [Yoshi Remix]",Favorite Songs,Favorite,QMRSZ2000598
Stepping Stone,Eminem,Kamikaze,Favorite Songs,Favorite,USUM71813338
Hocus Pocus,DJ Kay Slay,Hocus Pocus,Favorite Songs,Favorite,USKO11900413
Daze,ELIOZIE,Daze,Favorite Songs,Favorite,QM24S1912609
3005,Childish Gambino,Because The Internet,Favorite Songs,Favorite,USYAH1300213
the ends,Travis Scott,Birds In The Trap Sing McKnight,Favorite Songs,Favorite,USSM11607548
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Shoot For The Stars Aim For The Moon,Favorite Songs,Favorite,USUM72013355
Reality Check,Swae Lee,Reality Check,Favorite Songs,Favorite,USUM72011604
My City,Lil Tjay,State of Emergency,Favorite Songs,Favorite,USSM12002270
Save Me,Skillet,Save Me,Favorite Songs,Favorite,USAT21902849
Bulletproof,Godsmack,When Legends Rise,Favorite Songs,Favorite,QMRSZ1703237
Looking 4 Existence,Yung Pinch,Looking 4 Existence,Favorite Songs,Favorite,USLD91725761
Cash Machine,Oliver Tree,Cash Machine,Favorite Songs,Favorite,USAT21905529
Painkiller,Three Days Grace,Human,Favorite Songs,Favorite,USRC11400506
ADHD,Joyner Lucas,ADHD,Favorite Songs,Favorite,QM7281935517
Candy (feat. Trippie Redd),Machine Gun Kelly,Hotel Diablo,Favorite Songs,Favorite,USUM71909846
Hopelessly Hopeful,Asking Alexandria,Asking Alexandria,Favorite Songs,Favorite,USYFZ1791002
Angel,Theory of a Deadman,Savages,Favorite Songs,Favorite,NLA321400207
Words As Weapons,Seether,Isolate And Medicate,Favorite Songs,Favorite,QMFMK1400003
Dangerous,Seether,Dangerous,Favorite Songs,Favorite,USC4R2007517
Take It From Me,KONGOS,Egomaniac,Favorite Songs,Favorite,USSM11600937
Let Down,Palisades,Palisades,Favorite Songs,Favorite,QMRSZ1600739
On The Road (feat. Meek Mill & Lil Baby),Post Malone,Hollywood's Bleeding,Favorite Songs,Favorite,USUM71915729
WELFARE (feat. Westside Gunn),RMR,DRUG DEALING IS A LOST ART,Favorite Songs,Favorite,USWB12001674
Better Now,Post Malone,beerbongs & bentleys,Playlist 4,Playlist track,USUM71805170
Paranoid,Post Malone,beerbongs & bentleys,Playlist 4,Playlist track,USUM71710835
Wow.,Post Malone,Wow.,Playlist 4,Playlist track,USUM71822626
Blank,Disfigure,Blank,Playlist 4,Playlist track,GB2LD0901580
Let You Down,NF,Perception,Playlist 4,Playlist track,USUM71708226
Psycho (feat. Ty Dolla $ign),Post Malone,beerbongs & bentleys,Playlist 4,Playlist track,USUM71710836
Africa,TOTO,Toto IV,Playlist 4,Playlist track,USSM19801941
Crushed Up,Future,Future Hndrxx Presents: The WIZRD,Playlist 4,Playlist track,USSM11809114
Overdue (with Travis Scott),Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),Playlist 4,Playlist track,USUG11802479
SICKO MODE - Skrillex Remix,Travis Scott,SICKO MODE (Skrillex Remix),Playlist 4,Playlist track,USSM11808418
STOP TRYING TO BE GOD,Travis Scott,ASTROWORLD,Playlist 4,Playlist track,USSM11806662
5% TINT,Travis Scott,ASTROWORLD,Playlist 4,Playlist track,USSM11806666
Antidote,Travis Scott,Rodeo (Expanded Edition),Playlist 4,Playlist track,USSM11505661
No Role Modelz,J. Cole,2014 Forest Hills Drive,Playlist 4,Playlist track,USQX91402598
MIDDLE CHILD,J. Cole,MIDDLE CHILD,Playlist 4,Playlist track,QMJMT1902056
Heartless,Kanye West,808s & Heartbreak,Playlist 4,Playlist track,USUM70840511
Space Cadet (feat. Gunna),Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),Playlist 4,Playlist track,USUG11802484
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,Playlist 4,Playlist track,USSM11607555
Congratulations,Post Malone,Stoney (Deluxe),Playlist 4,Playlist track,USUM71614484
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Playlist 4,Playlist track,USUG11800685
Drip Too Hard (Lil Baby & Gunna),Lil Baby,Drip Harder,Playlist 4,Playlist track,USUG11801811
Hard Work Pays Off,Future,Future & Juice WRLD Present... WRLD ON DRUGS,Playlist 4,Playlist track,USSM11808193
All Girls Are The Same,Juice WRLD,Goodbye & Good Riddance,Playlist 4,Playlist track,USUG11800651
Noticed,Lil Mosey,Northsbest,Playlist 4,Playlist track,USUM71809565
Pure Water (with Migos),Mustard,Pure Water (with Migos),Playlist 4,Playlist track,USUM71823137
CAN'T SAY,Travis Scott,ASTROWORLD,Playlist 4,Playlist track,USSM11806670
First Off (feat. Travis Scott),Future,Future Hndrxx Presents: The WIZRD,Playlist 4,Playlist track,USSM11900038
